week,language,weekend_users,total_users
1,OpenEdge ABL,18,60
2,KRL,1,3
4,Io,2,6
1,C,3761,11995
4,Shell,2345,8770
3,Rust,125,334
2,Lasso,3,11
4,Parrot,1,2
2,Rouge,1,2
2,Idris,5,18
1,Julia,67,196
2,Groovy,207,778
4,C++,4231,13633
2,Nimrod,6,14
3,XProc,1,2
1,Scala,558,1846
1,Eiffel,4,31
2,Objective-J,12,30
1,Opa,0,1
1,PHP,4950,18320
3,Arc,2,7
2,Perl,575,2172
2,Squirrel,4,14
1,Hy,1,2
3,MoonScript,4,8
2,Haxe,70,181
3,Common Lisp,65,204
4,Haskell,439,1242
2,Processing,154,377
3,Monkey,0,1
1,DOT,6,22
1,Max,9,34
2,XML,5,8
1,JSONiq,0,2
4,FORTRAN,58,265
1,Scilab,2,8
3,Visual Basic,78,257
3,nesC,11,71
4,XSLT,75,369
3,GAMS,0,3
1,Stata,6,27
4,SQL,19,121
4,Turing,2,2
1,Arduino,151,529
1,Crystal,2,5
4,Swift,207,619
3,PAWN,5,9
3,AppleScript,20,60
1,RobotFramework,0,2
2,VCL,0,3
4,JavaScript,11969,42098
4,Apex,7,48
2,Component Pascal,1,2
2,Coq,18,60
1,PowerShell,83,341
2,Frege,1,1
1,FLUX,0,6
2,Logos,15,51
3,Nemerle,2,10
2,Tcl,20,71
4,Inform 7,3,9
3,Dylan,4,10
4,Pascal,57,181
4,SystemVerilog,4,11
2,VHDL,22,77
1,NetLogo,5,15
3,Vala,25,70
2,xBase,2,13
1,Clojure,270,824
4,C#,2200,7340
1,Smalltalk,22,70
2,VimL,1010,3781
3,Erlang,112,424
2,Game Maker Language,22,64
4,BlitzBasic,16,60
2,Ruby,5043,17624
2,Kotlin,3,13
3,Matlab,209,806
4,Ragel in Ruby Host,1,2
1,AutoIt,8,20
2,CoffeeScript,475,1701
2,Racket,33,112
2,Go,703,2277
2,Ada,17,32
4,TeX,655,2270
1,Fantom,1,2
3,Alloy,1,2
3,Pure Data,5,19
4,Scheme,67,252
4,Standard ML,17,50
3,Assembly,78,243
4,SAS,5,19
2,Ceylon,2,10
4,ASP,50,201
4,ColdFusion,14,67
4,ATS,3,6
2,XC,1,17
3,wisp,0,1
1,Boo,1,3
2,Verilog,29,98
1,Dart,70,212
2,LiveScript,14,40
3,SuperCollider,7,16
3,Clean,1,2
1,Elixir,33,88
1,Python,6618,23137
4,AutoHotkey,18,69
3,Propeller Spin,3,13
4,COBOL,6,17
4,CSS,6116,21275
4,OCaml,65,229
1,ANTLR,5,14
2,F#,72,187
2,Awk,10,28
1,PogoScript,0,1
4,Objective-C,1304,4713
3,R,1817,5187
3,Delphi,2,3
4,D,84,275
3,SourcePawn,7,23
4,Cirru,1,3
1,Puppet,120,634
3,Agda,5,23
1,TypeScript,200,598
3,ActionScript,98,358
3,Volt,0,1
1,Slash,6,15
3,REALbasic,1,3
4,Bluespec,0,3
1,Prolog,10,34
2,Mathematica,3,8
3,Glyph,1,3
4,Rebol,0,5
1,AspectJ,3,9
1,Lua,480,1307
1,PureScript,4,7
4,GAP,7,19
2,Xtend,8,26
1,Ecl,1,2
2,Objective-C++,22,82
4,Elm,7,22
4,J,3,4
1,Nu,0,2
1,UnrealScript,3,12
3,M,6,37
1,Java,9558,32289
1,Gosu,6,25
1,HaXe,2,9
1,Pike,1,6
2,Perl6,6,18
2,Factor,3,7
3,Mercury,12,31
2,Brightscript,4,8
1,Logtalk,2,3
3,IDL,29,105
3,eC,4,5
3,Forth,1,3
4,Pan,0,4
3,Racket,40,122
